iter	Passed	Remaining
0	2	255
1	5	268
2	8	273
3	10	243
4	12	232
5	14	226
6	16	224
7	19	221
8	21	215
9	25	227
10	29	236
11	31	233
12	34	229
13	36	222
14	38	219
15	41	215
16	43	211
17	45	207
18	47	202
19	49	197
20	51	194
21	53	189
22	55	187
23	57	183
24	59	179
25	61	176
26	63	172
27	65	168
28	67	166
29	70	164
30	72	160
31	74	157
32	75	153
33	77	149
34	78	146
35	80	142
36	82	139
37	83	136
38	85	133
39	87	130
40	88	128
41	89	123
42	91	121
43	92	118
44	94	115
45	96	113
46	98	110
47	100	108
48	101	105
49	103	103
50	104	100
51	106	97
52	107	95
53	108	92
54	109	89
55	111	87
56	112	84
57	113	82
58	115	80
59	116	77
60	118	75
61	119	73
62	121	71
63	122	69
64	124	67
65	125	64
66	127	62
67	128	60
68	130	58
69	131	56
70	133	54
71	134	52
72	135	50
73	137	48
74	139	46
75	140	44
76	142	42
77	143	40
78	145	38
79	146	36
80	147	34
81	149	32
82	150	30
83	152	28
84	153	27
85	154	25
86	156	23
87	157	21
88	159	19
89	160	17
90	161	16
91	163	14
92	164	12
93	166	10
94	167	8
95	168	7
96	169	5
97	171	3
98	173	1
99	174	0
